"Name","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","ExportNameNpc","ExportNameConstruction","ExportNameLocked","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","ExportNameBuildAnim","ExportNameUpgradeAnim","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredSourElixir","MaxStoredCommonOre","MaxStoredRareOre","MaxStoredEpicOre","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","Blacksmith","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnitType","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","DPS","AltDPS","Damage","DamageMulti","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","MultiHitsTarget","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","PushBack","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","DPSMulti","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCost","ActivateCombatOnDamageTaken","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","SpellOnNearbyDamage","DamagePermilHp","ProjectileVariantByTargetMaxHP","DefaultProjectileVariant","PreviewScenario","AltPreviewScenario","CustomTargetHitBuildingInRange","UnlockWeaponMode","Stage","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","HealthRecoveryPercent","MergeRequirement","ProjectileBounces"
"String","int","String","String","String","String","String","String","String","String","String","String","int","int","int","int","String","int","int","int","int","int","String","String","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","boolean","String","int","int","int","String","int","int","int","int","String","int","String","int","boolean","int","int","int","boolean","int","int","int","int","int","int","int","int","int","String","int","boolean","String","String","String","String","int","int","int","int","String","String","String","String","String","String","int","int","int","String","boolean","boolean","boolean","int","boolean","boolean","boolean","boolean","int","String","int","int","int","int","String","String","String","String","String","String","boolean","String","int","int","int","int","Boolean","int","Boolean","String","String","int","String","String","boolean","boolean","boolean","String","Boolean","int","int","int","int","int","String","String","String","String","int","boolean","int","int","String","int","int","int","int","int","int","int","boolean","int","int","int","boolean","boolean","int","String","int","String","String","int","int","int","int","int","int","String","int","int","String","boolean","int","int","int","int","int","int","int","String","int","boolean","int","int","int","int","int","int","int","int","String","String","int","int","boolean","int","String","int","String","int","int","String","int","int","String","int","String","String","int","String","int","int","String","int","String","int","String","String","boolean","String","int","String","int","int","int","String","int"
"Troop Housing",1,"TID_BUILDING_HOUSING","TID_HOUSING_INFO","Army",,,"sc/buildings.sc","fireplace_lvl1",,"fireplace_const",,0,0,5,0,"Elixir",200,1,1,4,4,,"fireplace_upg",,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,250,15,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",2,2,,"fireplace_lvl1_base",,,,,,,,,,,,,,,,,,,"Troop Housing Pickup","Troop Housing Placing",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,"NoCombatBuilding",,,,,,,,,,
,2,,,,,,,"fireplace_lvl2",,,,0,0,15,0,,2000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl2_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,"fireplace_lvl3",,,,0,2,0,0,,10000,3,3,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl3_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,"fireplace_lvl4",,,,0,5,0,0,,100000,4,4,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl4_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,"fireplace_lvl5",,,,0,8,0,0,,250000,5,5,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl5_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,"fireplace_lvl6",,,,0,12,0,0,,750000,6,6,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl6_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,"fireplace_lvl7",,,,2,0,0,0,,1500000,9,9,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_pit_rock",,,,"fireplace_lvl7_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,"fireplace_lvl8",,,,3,0,0,0,,2500000,10,10,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl7_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,"fireplace_lvl9",,,,6,6,0,0,,4200000,11,11,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl7_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
