"Name","TID","InfoTID","AltTID","IconSWF","IconExportName","CollectEffect","ResourceIconExportName","StealEffect","StealLimitMid","StealEffectMid","StealLimitBig","StealEffectBig","PremiumCurrency","HudInstanceName","CapFullTID","TextRed","TextGreen","TextBlue","BankedRefResource","WarRefResource","BundleIconExportName","VillageType"
"String","String","String","String","String","String","String","String","String","int","String","int","String","Boolean","String","String","int","int","int","String","String","String","int"
"Diamonds","TID_DIAMONDS",,"TID_DIAMONDS","sc/ui.sc","info_icon_gem","Collect Diamonds","building_resources_gem",,,,,,"true","diamond_bar",,0,255,92,,,,
"Gold","TID_GOLD",,"TID_GOLD","sc/ui.sc","icon_gold1","Collect Gold","building_resources_gold","Steal Gold",30000,"Steal Gold Mid",50000,"Steal Gold Big",,"gold_bar","TID_RESOURCE_CAP_FULL_GOLD",240,240,0,,,"special_offer_item_gold_1",
"Elixir","TID_ELIXIR",,"TID_ELIXIR","sc/ui.sc","icon_elixir1","Collect Elixir","building_resources_elixir","Steal Elixir",30000,"Steal Elixir Mid",50000,"Steal Elixir Big",,"elixir_bar","TID_RESOURCE_CAP_FULL_ELIXIR",192,0,192,,,"special_offer_item_elixir_1",
"DarkElixir","TID_DARK_ELIXIR",,"TID_DARK_ELIXIR","sc/ui.sc","icon_dark_elixir1","Collect Dark Elixir","building_resources_dark_elixir","Steal Dark Elixir",200,"Steal Dark Elixir Mid",450,"Steal Dark Elixir Big",,"dark_elixir_bar","TID_RESOURCE_CAP_FULL_DARK_ELIXIR",240,240,240,,,"special_offer_item_dark_1",
"WarGold","TID_TREASURY_GOLD",,"TID_TREASURY_GOLD","sc/ui.sc",,"Collect Gold","building_resources_gold",,,,,,,,,240,240,0,,"Gold",,
"WarElixir","TID_TREASURY_ELIXIR",,"TID_TREASURY_ELIXIR","sc/ui.sc",,"Collect Elixir","building_resources_elixir",,,,,,,,,192,0,192,,"Elixir",,
"WarDarkElixir","TID_TREASURY_DARK_ELIXIR",,"TID_TREASURY_DARK_ELIXIR","sc/ui.sc",,"Collect Dark Elixir","building_resources_dark_elixir",,,,,,,,,240,240,240,,"DarkElixir",,
"Gold2","TID_GOLD2",,"TID_GOLD2_ALT","sc/ui.sc","icon_gold2","Collect Gold_2","building_resources_gold2","Steal Gold",30000,"Steal Gold Mid",50000,"Steal Gold Big",,"gold2_bar","TID_RESOURCE_CAP_FULL_GOLD",240,240,0,,,"special_offer_item_gold_1_v2",1
"Elixir2","TID_ELIXIR2",,"TID_ELIXIR2_ALT","sc/ui.sc","icon_elixir2","Collect Elixir","building_resources_elixir2","Steal Elixir",30000,"Steal Elixir Mid",50000,"Steal Elixir Big",,"elixir2_bar","TID_RESOURCE_CAP_FULL_ELIXIR",192,0,192,,,"special_offer_item_elixir_1_v2",1
"Medals","TID_MEDALS",,"TID_MEDALS","sc/ui.sc","war_medal_icon","Collect Gold","war_medal_icon",,,,,,,,,240,240,0,,,,
"BankedGold","TID_GOLD",,"TID_GOLD","sc/ui.sc","icon_gold1","Collect Gold","building_resources_gold","Steal Gold",,,,,,,,240,240,0,"Gold",,,
"BankedElixir","TID_ELIXIR",,"TID_ELIXIR","sc/ui.sc","icon_elixir1","Collect Elixir","building_resources_elixir","Steal Elixir",,,,,,,,192,0,192,"Elixir",,,
"BankedDarkElixir","TID_DARK_ELIXIR",,"TID_DARK_ELIXIR","sc/ui.sc","icon_dark_elixir1","Collect Dark Elixir","building_resources_dark_elixir","Steal Dark Elixir",,,,,,,,240,240,240,"DarkElixir",,,
"CapitalResource","TID_CAPITAL_RESOURCE",,"TID_CAPITAL_RESOURCE","sc/ui.sc","icon_capital_resource","Collect Capital Gold","building_resources_capital_resource","Steal Capital Gold",,,,,,"cc_bar_resources","TID_CAPITAL_RESOURCE_FULL",240,240,240,,,"special_offer_item_capital_gold_1",
"CapitalReward","TID_CAPITAL_REWARD",,"TID_CAPITAL_REWARD","sc/ui.sc","icon_capital_reward","Collect Gold","building_resources_gold",,,,,,,"cc_bar_reward","TID_CAPITAL_REWARD_FULL",240,240,240,,,"special_offer_item_raid_medals_1",
