"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_NO_OPENID_LOGIN_DISALLOWED_TENCENT","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。"
"TID_SUPER_DRAGON","Super Dragon","التنين الخارق","超级飞龙","超級飛龍","Superdrache","Superdragón","اَبَر‌اژدها","Superlohikäärme","Super dragon","Naga Super","Superdrago","スーパードラゴン","슈퍼 드래곤","Naga Super","Superdraak","Superdrage","Superdragão","Супердракон","ซูเปอร์มังกร","Süper Ejderha","Rồng siêu cấp"
"TID_SUPER_DRAGON_INFO","Sometimes having a fire inside of you isn't enough. The Super Dragon has fires on the inside, outside, and if he gets to do his thing, all around him!","لا يكتفي التنين الخارق بالنار الموجودة بداخله، بل يطلقها حوله كذلك ليشعل الأجواء كلها!","体内有火不算什么，超级飞龙内外都冒火！只要开始战斗，他全身每一处都能迸发出熊熊烈焰。","有時候光內心有怒火是不夠的，超級飛龍全身上下都有火！而且只要牠開始戰鬥，放眼望去皆是熊熊烈焰！","Der Superdrache brennt darauf, gegnerischen Dörfern einzuheizen - und wenn sein Plan aufgeht, geht alles um ihn herum in Flammen auf!","El superdragón no puede contener el fuego que arde en su interior y necesita abrasar todo lo que se encuentre en su camino para desfogarse.","گاهی‌اوقات، وجود آتش در درونتان کافی نیست. اَبَر‌اژدها در درون و بیرونش آتش دارد و اگر بتواند کارش را انجام دهد، اطرافش را آتش احاطه می‌کند!","Joskus sisäinen palo ei riitä. Superlohikäärme suhtautuu työhönsä niin tulenpalavalla tarmolla, että on tulessa sisältä, ulkoa ja oikeastaan ympäriltäkin!","Parfois, il faut plus qu'un simple feu intérieur. Le super dragon brûle dedans, dehors, et quand il est en colère, il brûle aussi tout autour de lui !","Terkadang, memiliki semangat berapi-api saja tidak cukup. Naga Super memiliki api di dalam, di luar, dan bahkan di seluruh tubuhnya!","Il superdrago ha letteralmente il fuoco addosso e cerca disperatamente di ricoprire di fiamme ogni cosa che lo circonda.","熱すぎる情熱というのは時に脅威と化します。内なる炎が身体の外にまでほとばしるスーパードラゴンは、周囲一帯をいとも簡単に焼き尽くします！","주체되지 않는 마음속 뜨거운 불덩이로 슈퍼 드래곤의 온몸이 불타오르며, 주변 모든 것을 불태웁니다!","Kadangkala api dalam diri anda tidak mencukupi. Naga Super ada api di dalam, di luar dan juga di sekelilingnya apabila mula menyerang!","De superdraak brengt zijn vurige persoonlijkheid tot uiting door alles om hem heen in lichterlaaie te zetten!","Enkelte ganger er det ikke nok at det brenner inni deg. Superdragen har ild både inni seg, på utsiden og - hvis han får styre med sitt i fred - overalt rundt seg!","Às vezes não basta sentir o fogo ardendo por dentro. O Superdragão sente o fogo por dentro, por fora e ao seu redor!","Иногда одного только внутреннего огня недостаточно. У супердракона огонь внутри, снаружи, а когда он в настроении, то и вокруг него!","บางครั้งการมีไฟอยู่ข้างในร่างกายก็ไม่เพียงพอ ซูเปอร์มังกรมีไฟทั้งข้างใน ข้างนอก แล้วถ้าปล่อยให้มันทำตามใจชอบ ไฟจะอยู่รอบตัวเลยทีเดียว!","Bazen içimizdeki ateş bize yetmez... Süper Ejderhanın hem içinde hem de dışında ateş var. Hele bir de havaya girsin, işte o zaman her tarafı ateş oluyor!","Đôi khi, chỉ giữ sức mạnh của lửa bên trong cơ thể thì không đủ để thị uy. Rồng siêu cấp luôn có lửa cháy hừng hực cả bên trong lẫn bên ngoài, và khi chiến đấu, lửa quanh cơ thể nó có thể thiêu cháy mọi thứ xung quanh!"
"TID_SUPER_DRAGON_ABILITY_NAME","Roast","الشواء","炙热龙息","炙熱龍息","Röstung","A la brasa","جزغاله کردن","Kärvennys","Brasier","Panggang Habis","Arrosto","焼却","불타는 숨결","Panggang","Uitbrander","Steik","Incendiar","прожарка","ย่างสด","Kavurma","Hơi thở thiêu đốt"
"TID_SUPER_DRAGON_ABILITY_HELP","Deals continuous damage that splashes to nearby targets","يلحق ضررًا انتشاريًا مستمرًا بالأهداف القريبة.","造成会溅射至周围目标的持续伤害","造成會濺射至附近目標的持續傷害","Verursacht durchgängig Schaden, der auf Ziele in der Nähe überspringt.","Inflige daño continuo que afecta a los objetivos cercanos.","آسیب‌های مداومی را وارد می‌کند که به اهداف نزدیک اصابت می‌کنند","Tekee jatkuvaa tuhoa, joka vahingoittaa myös lähellä olevia kohteita.","Inflige des dégâts continus qui se répandent sur les cibles proches.","Memberikan kerusakan terus-menerus yang akan memercik ke target terdekat","Infligge costantemente danni, che finiscono col colpire anche i bersagli vicini.","近くの標的に連鎖する継続的なダメージを与える","주변 대상에게까지 퍼지는 지속 피해를 줍니다.","Melakukan kerosakan kawasan yang berterusan ke atas sasaran berdekatan","Spuwt voortdurende vlammen die gebiedsschade toebrengen aan doelwitten in de buurt.","Gjør kontinuerlig skade som sprer seg til mål i nærheten.","Causa dano contínuo em área aos alvos próximos.","Наносит непрерывный урон, распространяющийся на соседние цели.","สร้างความเสียหายต่อเนื่องซึ่งกระจายไปหาเป้าหมายใกล้ๆ","Yakındaki birliklere etki eden sürekli bir alan hasarı verir.","Gây sát thương liên tục, lan sang các mục tiêu gần đó"
"TID_CLANGAMES_TASK_WIN_STARS_VS_TOWNHALL_14","Formidable 14s","14 الجبارة","强袭14本","強襲14本","Fabelhafte 14er","Ayuntamientos de nivel 14","14 قدرتمند","Näyttävät neljättoista","Les 14 Fantastiques","Balai Kota 14 Perkasa","I fantastici 14","脅威のTH14","강력한 14레벨","14 yang menggerunkan","Verbazingwekkende 14","Formidable 14","Os 14 formidáveis","Грозная 14-я","14 น่าเกรงขาม","14'lere Hücum","Đối đầu với Nhà Chính cấp 14"
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_14","Earn <num> Stars against opponents with Town Hall 14 in Multiplayer Battles.","اربح <num> من النجوم ضد خصوم من قاعة المدينة 14 في المعارك متعددة اللاعبين.","在联机模式中进攻14级大本营村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻14級大本營村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner mit Rathaus-Level 14.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel 14.","در نبردهای چند نفره مقابل حریفانی با تالار شهر سطح 14، <num> ستاره کسب کنید.","Hanki <num> tähteä moninpelitaisteluista päärakennuksen tasolla 14 olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires possédant un hôtel de ville de niveau 14 en combat multijoueur.","Raih <num> Bintang saat menghadapi lawan dengan Balai Kota 14 di Pertempuran Multipemain.","Ottieni <num> stella/e contro avversari con municipio di livello 14 in battaglie multigiocatore.","マルチプレイで、タウンホールレベル14のプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n마을회관 14레벨을 상대로\n별 <num>개 획득","Raih <num> bintang menentang lwn dgn Dewan Bandaran 14 dlm Pertempuran Berbilang Pemain.","Verdien <num> sterren tegen tegenstanders met stadhuislevel 14 in multiplayergevechten.","Få <num> stjerner mot motstandere med rådhus 14 i flerspillerkamper.","Ganhe <num> estrelas enfrentando inimigos com centro da vila 14 em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей 14-го уровня.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีศาลากลางเลเวล 14 ในการรบแบบผู้เล่นหลายคน","Çok Oyunculu Savaşlarda 14. Belediye Binasına sahip rakiplerinden <num> Yıldız kazan.","Kiếm <num> Sao khi đấu với đối thủ có Nhà Chính cấp 14 trong các Trận chiến Nhiều người chơi."
"TID_CHARACTER_SIEGE_MACHINE_CATAPULT","Flame Flinger","منجنيق النيران","攻城烈焰车","攻城烈焰車","Flammenschleuder","Lanzallamas","شعله‌انداز","Roihunheitin","Catapulte d'esprits","Katapel Api","Scagliafiamme","フレイムシューター","화염 투척기","Pelempar Api","Vlammenverspreider","Flammeslynger","Trabuco flamejante","Огнеметатель","เครื่องยิงลูกไฟ","Alev Atıcı","Xe phóng lửa"
"TID_CHARACTER_INFO_SIEGE_MACHINE_CATAPULT","This little charmer flings bundles of Fire Spirits that both hit hard and leave behind a burning mess. Its long range helps it stay out of trouble, but beware of longer range defenses and traps! Immune to spell effects.","تطلق هذه الآلة أرواح نار تضرب بقوة وتحرق أهدافها. يساعدها مداها الطويل في البقاء في أمان، لكن احذر الدفاعات طويلة المدى والفخاخ. لا تؤثر التعويذات على منجنيق النيران.","这架可爱的攻城机器能投掷出多个烈焰精灵，不仅会给敌方村庄造成重击，还会留下一片持续燃烧的区域。攻城烈焰车的攻击范围很远，足以让自己在攻击时远离危险，但要小心攻击范围更远的防御建筑和陷阱！法术对攻城烈焰车无效。","這架可愛的攻城機器能投擲出多個烈焰精靈，不僅會對敵方村莊造成重擊，還會焚燒村莊，徒留餘燼。攻城烈焰車的攻擊距離很遠，足以讓自己在攻擊時遠離危險，但要小心攻擊距離較遠的防禦建築和陷阱！法術對攻城烈焰車無效。","Dieses Katapult schleudert Bündel an Feuergeistern, die viel Schaden verursachen und alles in Schutt und - hauptsächlich - Asche legen. Mit ihrer großen Reichweite bleibt die Flammenschleuder größtenteils außerhalb der Hitze des Gefechts, doch Vorsicht vor Verteidigungsanlagen mit ebenso großer Reichweite und Fallen! Zauber haben keinen Einfluss auf sie.","Esta catapulta lanza espíritus de fuego que infligen daño al impactar y dejan un rastro de llamas. Gracias a su largo alcance, está a salvo de muchos peligros, ¡pero cuidado con las defensas de largo alcance y las trampas! Es inmune a los hechizos.","این افسونگر کوچک بسته‌های ترکیبی ارواح آتشین را پرتاب می‌کند که هم ضربه شدیدی وارد می‌کنند و هم آشفتگی سوزانی را پشت سرشان به‌جا می‌گذارند. دامنه پرتاب دور‌بُردش به او کمک می‌کند تا از دردسر دور بماند، اما مراقب دفاع‌ها و تله‌های او با دامنه دور‌بُردتر باشید! از اثرات طلسم مصون است.","Tämä pikku hurmuri heittää tulen henkien parvia, jotka iskevät kovaa ja polttavat perusteellisesti. Pitkä kantama auttaa pysymään turvassa, mutta varo pidemmän kantaman puolustuksia ja ansoja! Loitsut eivät vaikuta roihunheittimeen.","Cet engin de siège projette des salves d'esprits de feu qui font mal et laissent des flammes derrière eux. Sa portée lui permet de rester à l'écart des problèmes, mais attention aux défenses à plus longue portée et aux pièges. Les sorts n'ont aucun effet sur lui.","Mesin ini akan melemparkan gerombolan Roh Api ke arah target dan membuat mereka terbakar. Jangkauan serangannya yang jauh membuatnya terlindung dari bahaya, tetapi hati-hati terhadap pertahanan dan jebakan dengan jangkauan yang jauh pula! Mesin ini kebal terhadap efek mantra.","Questo gioiellino lancia degli spiriti del fuoco, che continuano a bruciare dopo l'impatto. La lunga portata tiene al sicuro la macchina da molti pericoli, ma occhio a difese e trappole con portate maggiori! È immune agli effetti degli incantesimi.","フレイムシューターは、可愛らしいファイアスピリット数体を猛烈な勢いで発射して、戦場を火の海に変えます。長射程なので比較的安全な距離から攻撃できますが、射程の長い防衛設備やトラップには注意が必要です！なお、呪文の影響は受けません。","강력한 피해를 주고 불타는 자리를 남기는 파이어 스피릿을 던집니다. 긴 사거리 덕분에 안전한 거리에서 상대를 공격할 수는 있지만, 사거리가 더 긴 방어시설과 함정에 주의해야 합니다! 마법 효과에는 면역입니다.","Pelempar kecil yang manawan ini melemparkan Roh Api yang melakukan kerosakan besar dan meninggalkan jejak api. Penyerang jauh ini boleh mengelak kebanyakan serangan tetapi berhati-hati dengan perangkap dan pertahanan jarak jauh! Imun terhadap kesan sihir.","De vlammenverspreider slingert meerdere vuurgeesten per keer die hard aankomen en een brandende puinhoop achterlaten. Het grote bereik van de katapult houdt deze belegeringsmachine op een veilige afstand, maar pas op voor verdedigingswerken en vallen met een groot bereik! De vlammenverspreider is immuun voor spreuken.","Denne lille sjarmøren slynger bunter med ildånder som både treffer hardt og etterlater seg brann og annen elendighet. Den lange rekkevidden gjør at den kan holde seg unna trøbbel, men pass deg for forsvarsverker og feller med enda lengre rekkevidde! Den er immun mot formeleffekter.","O trabuco lança Espíritos de Fogo que não só acertam com toda a força como também deixam chamas para trás. Seu longo alcance o mantém longe do perigo, mas cuidado com defesas de longo alcance e armadilhas! Imune a feitiços.","Это любопытное устройство стреляет огненными духами, которые наносят урон при ударе и поджигают все вокруг. Дальнобойность дает ему неплохую защиту, но остерегайтесь оборонных сооружений с большой дальностью и ловушек! Имеет иммунитет к заклинаниям.","เครื่องจักรเปี่ยมเสน่ห์ขนาดจิ๋วจะยิงกลุ่มวิญญาณไฟที่โจมตีรุนแรงและเผาผลาญให้มอดไหม้ ระยะการโจมตีไกลช่วยให้เครื่องจักรนี้รอดพ้นจากอันตราย แต่จงระวังการป้องกันที่มีระยะไกลกว่าและกับดัก! ต้านทานผลของอาคมได้","Bu minik makine, çarptığında hasar veren ve düştüğü yeri yakan Ateş Ruhları fırlatır. Uzun menzili sayesinde tehlikeden uzak durur, ama daha uzun menzilli savunma ve tuzaklara dikkat! Büyülerden etkilenmez.","Cỗ máy này phóng ra hàng loạt Hỏa Tinh Linh, không chỉ gây sát thương nặng nề mà còn tạo ra một đám cháy dữ dội. Do có tầm tấn công xa, Xe phóng lửa có thể tránh được nhiều nguy hiểm, nhưng hãy cẩn thận với các cạm bẫy và hệ thống phòng thủ có tầm xa hơn nhé! Thần chú không có tác dụng với Xe phóng lửa."
